127.0.0.1 - - [16/Oct/2022:21:28:12 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:13 -0400] "GET /Assignment2/RegisterForm.html HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:13 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:29 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:29 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:45 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:45 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:34:44 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:34:44 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:34:54 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:34:54 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:35:20 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:35:20 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:35:35 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:35:35 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:35:56 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:35:56 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:36:06 -0400] "POST /Assignment2/import_records HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:36:12 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:36:12 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:36:30 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:36:30 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:36:48 -0400] "POST /Assignment2/import_records HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:36:48 -0400] "GET /Assignment2/show_records HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:38:58 -0400] "POST /Assignment2/import_records HTTP/1.1" 200 41
