127.0.0.1 - - [04/Nov/2022:19:19:49 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:19:50 -0400] "GET /jstlDemo/test1.jsp HTTP/1.1" 500 2609
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:19:50 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:25:29 -0400] "GET /jstlDemo/test1.jsp HTTP/1.1" 500 2609
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:25:31 -0400] "GET /jstlDemo/test1.jsp HTTP/1.1" 500 2838
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:26:22 -0400] "GET /jstlDemo/test1.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:26:22 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:26:59 -0400] "GET /jstlDemo/test1.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:42:04 -0400] "GET /jstlDemo/elForm.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:42:04 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:42:43 -0400] "POST /jstlDemo/elForm.jsp HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:59:29 -0400] "POST /jstlDemo/elForm.jsp HTTP/1.1" 500 3055
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:59:38 -0400] "GET /jstlDemo/elForm.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [04/Nov/2022:19:59:54 -0400] "POST /jstlDemo/elForm.jsp HTTP/1.1" 500 3055
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:00:35 -0400] "POST /jstlDemo/elForm.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:13:34 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:22:28 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 2399
0:0:0:0:0:0:0:1 - - [04/Nov/2022:20:23:44 -0400] "GET /jstlDemo/empForm.jsp HTTP/1.1" 500 2399
